rb,final_mean_margin,final_mean_opt_rb
-1.000000000000000000e+00,-2.583861373750551138e-07,-1.000000000000000000e+00
-7.777777777777777901e-01,3.403174132108688354e-02,-7.836008667945861816e-01
-5.555555555555555802e-01,6.860921531915664673e-02,-5.657684803009033203e-01
-3.333333333333333703e-01,1.030433252453804016e-01,-3.466707468032836914e-01
-1.111111111111111605e-01,1.377387493848800659e-01,-1.264546960592269897e-01
1.111111111111111605e-01,1.712505668401718140e-01,9.519758820533752441e-02
3.333333333333332593e-01,2.009724080562591553e-01,3.184279799461364746e-01
5.555555555555553582e-01,2.234029024839401245e-01,5.437532663345336914e-01
7.777777777777776791e-01,2.813961505889892578e-01,7.186019420623779297e-01
1.000000000000000000e+00,2.763667106628417969e-01,7.236297726631164551e-01
